iter	PRAUC:type=Classic;use_weights=false	Logloss	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false	BrierScore:use_weights=false	Logloss:use_weights=true	Logloss:use_weights=false
0	0.1445758691	0.6884889105	0.5139717003	0.5139717003	0.2468033388	0.6884889105	0.6867537085
1	0.1848917453	0.6841669451	0.5284541258	0.5284541258	0.2438319087	0.6841669451	0.6808100195
2	0.2011095674	0.6797840952	0.5108618191	0.5108618191	0.2407669808	0.6797840952	0.6746779014
3	0.1888391577	0.6754807728	0.4997446374	0.4997446374	0.2377247429	0.6754807728	0.6685891139
4	0.1888473428	0.6708562007	0.5	0.5	0.2345423491	0.6708562007	0.6622163857
5	0.1960206052	0.6661284979	0.5074965754	0.5074965754	0.2313441677	0.6661284979	0.6558078019
6	0.192695786	0.6622179681	0.5108618191	0.5108618191	0.2285617865	0.6622179681	0.6502287732
7	0.1965685726	0.6582651055	0.5108618191	0.5108618191	0.2257531218	0.6582651055	0.6445925241
8	0.1886687204	0.6554122582	0.5033652438	0.5033652438	0.2237340055	0.6554122582	0.6405376088
9	0.1898870697	0.651339648	0.5	0.5	0.220927374	0.651339648	0.6348947566
10	0.1905097125	0.6475649089	0.5	0.5	0.2182320653	0.6475649089	0.6294708409
11	0.1895210382	0.6444287545	0.5	0.5	0.2159127323	0.6444287545	0.6248005475
12	0.191255448	0.6412209667	0.5	0.5	0.2135878975	0.6412209667	0.6201142236
13	0.1876703736	0.6384303436	0.5	0.5	0.2114322358	0.6384303436	0.6157655759
14	0.1919629904	0.6349176533	0.5	0.5	0.2089115616	0.6349176533	0.6106717738
15	0.192091361	0.6314602744	0.5	0.5	0.2065175719	0.6314602744	0.6058253279
16	0.188515841	0.6282189211	0.5	0.5	0.2042102902	0.6282189211	0.6011458842
17	0.1951547143	0.6252461425	0.5	0.5	0.2021887829	0.6252461425	0.5970386286
18	0.1982403287	0.6218217524	0.5	0.5	0.1997665238	0.6218217524	0.5921173436
19	0.2064213263	0.6185894087	0.5	0.5	0.197506785	0.6185894087	0.5875159411
20	0.2100472507	0.615561778	0.5	0.5	0.1953389892	0.615561778	0.5830913538
21	0.2081075554	0.6127857441	0.5	0.5	0.1933214496	0.6127857441	0.5789677726
22	0.2156402546	0.6095305053	0.5	0.5	0.1910116306	0.6095305053	0.5742387255
23	0.2148507279	0.6064489214	0.5	0.5	0.1888160958	0.6064489214	0.5697344886
24	0.2154149839	0.603229764	0.5	0.5	0.1865928008	0.603229764	0.5651573895
25	0.2161409547	0.6000311518	0.5	0.5	0.1843836876	0.6000311518	0.5606005747
26	0.2180801294	0.5974355922	0.5	0.5	0.1824720669	0.5974355922	0.5566557817
27	0.2170409578	0.5947467032	0.5	0.5	0.1805210318	0.5947467032	0.5526153044
28	0.2165055685	0.5922710919	0.5	0.5	0.1787460384	0.5922710919	0.5489277242
29	0.214296894	0.5896144624	0.5	0.5	0.176823364	0.5896144624	0.5449256911
30	0.2180627383	0.5868086368	0.5	0.5	0.1749149175	0.5868086368	0.5409408029
31	0.2188431328	0.5840276016	0.5	0.5	0.1729496866	0.5840276016	0.5368328736
32	0.2178279434	0.5813753971	0.5	0.5	0.171067624	0.5813753971	0.5328830523
33	0.2141301312	0.5787696871	0.5	0.5	0.1692282212	0.5787696871	0.529012
34	0.2113550314	0.5766922248	0.5	0.5	0.1676116505	0.5766922248	0.5256153281
35	0.2115357231	0.5745839982	0.5	0.5	0.1660014718	0.5745839982	0.5222234232
36	0.211452733	0.5720887548	0.5	0.5	0.1642897284	0.5720887548	0.5185861357
37	0.2097674905	0.5698861564	0.5	0.5	0.1627021078	0.5698861564	0.5152156737
38	0.2079133245	0.5674236298	0.5	0.5	0.1610020751	0.5674236298	0.5115912287
39	0.2103600088	0.5652798887	0.5	0.5	0.1595101333	0.5652798887	0.5083956538
