position,checkpoint,formation,cumul_received_unsucc,cumul_in_game_time,cumul_pressured_success_rate,cumul_top_hsr_share,distance_per_run,distance_per_possession,top_distance_share,cumul_unique_run_possessions,cumul_sprints,cumul_bottom_sprint_share,cumul_pressure_success_rate,cumul_top_run_share,player_share_team_cumul_shots,player_share_team_shots_on_target,cumul_pass_middle_accuracy_rate,cumul_pass_top_accuracy_rate,cumul_pressure_turnover_rate,cumul_pressure_forward_rate,player_z_team_top_distance_share,scored_after
G,H1_15,4-1-4-1,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.1549353149203563,0
G,H1_30,4-1-4-1,2,29,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.3971583724819372,0
G,H1_45,4-1-4-1,3,44,0.0,0.0,9.525545999999999,19.051091999999997,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.546647054080002,0
G,H2_15,4-1-4-1,4,59,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1.71657240584124,0
G,H2_30,4-1-4-1,5,74,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.8383574924674901,0
D,H1_15,4-1-4-1,3,14,0.5,0.0,9.735180701631478,68.14626491142035,0.0,1.0,2,1.0,1.0,0.0,0.0,0.0,0,0,0.5,0.5,-1.1549353149203563,0
D,H1_30,4-1-4-1,5,29,0.5714285714285714,0.0,12.926770163854242,38.78031049156272,0.0,1.0,2,1.0,0.8,0.0,0.0,0.0,0,1,0.42857142857142855,0.2857142857142857,-1.3971583724819372,0
D,H1_45,4-1-4-1,5,44,0.6666666666666666,0.08333333333333333,10.96132728263978,65.76796369583869,0.10503290069838475,1.0,4,1.0,0.8571428571428571,0.0625,0.0,0.0,0,1,0.3333333333333333,0.2222222222222222,-1.102088172663547,0
D,H2_15,4-1-4-1,6,59,0.6363636363636364,0.058823529411764705,21.46915828179761,53.672895704494024,0.0,2.0,4,1.0,0.875,0.047619047619047616,0.0,0.0,0,1,0.36363636363636365,0.2727272727272727,-1.71657240584124,0
D,H2_30,4-1-4-1,7,74,0.6363636363636364,0.047619047619047616,8.407989860850531,33.631959443402124,0.0,2.0,4,1.0,0.875,0.04,0.0,0.0,0,1,0.36363636363636365,0.2727272727272727,-0.8383574924674901,0
D,H1_15,4-1-4-1,1,14,0.0,0.0,11.4142386305508,68.4854317833048,0.0,1.0,2,1.0,0.5,0.0,0.0,0.0,1,0,0.0,0.0,-1.1549353149203563,0
D,H1_30,4-1-4-1,1,29,0.6666666666666666,0.3,11.112935351853409,33.33880605556023,0.5147881219905427,2.0,2,1.0,0.3333333333333333,0.25,0.0,0.0,0,0,0.3333333333333333,0.0,0.7019275251230958,0
D,H1_45,4-1-4-1,2,44,0.75,0.21428571428571427,17.429073234650133,52.2872197039504,0.0,2.0,4,1.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,0.25,0.0,-1.546647054080002,0
D,H2_15,4-1-4-1,4,59,0.6,0.25,16.098189305347326,32.19637861069465,0.5343764190153798,2.0,4,1.0,0.3333333333333333,0.2,0.0,0.0,0,0,0.4,0.0,0.9525181199131273,0
D,H2_30,4-1-4-1,9,74,0.6666666666666666,0.2222222222222222,8.947481739130435,8.947481739130435,0.0,2.0,4,1.0,0.5,0.18181818181818182,0.0,0.0,0,0,0.3333333333333333,0.0,-0.8383574924674901,0
D,H1_15,4-1-4-1,1,14,1.0,0.0,13.392969181181021,40.17890754354306,0.0,2.0,1,1.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,-1.1549353149203563,0
D,H1_30,4-1-4-1,2,29,1.0,0.0,14.092318376220968,35.23079594055242,0.0,2.0,1,1.0,0.5,0.0,0.0,0.0,0,1,0.0,0.5,-1.3971583724819372,0
D,H1_45,4-1-4-1,2,44,0.5,0.07142857142857142,16.8403518346869,42.10087958671725,0.6359613503340489,2.0,2,0.5,0.5,0.125,0.0,0.0,0,1,0.5,0.16666666666666666,1.1451025277055735,0
D,H2_15,4-1-4-1,4,59,0.4666666666666667,0.11764705882352941,14.774186318310411,44.32255895493123,0.26659844359753965,2.0,5,0.8,0.6,0.13636363636363635,0.0,0.0,0,1,0.5333333333333333,0.13333333333333333,-0.38497289159214026,0
D,H2_30,4-1-4-1,4,74,0.4375,0.09090909090909091,7.588224862335732,45.52934917401439,0.0,2.0,6,0.8333333333333334,0.7142857142857143,0.10714285714285714,0.0,0.0,0,0,0.5625,0.125,-0.8383574924674901,0
