repeat,fold,fixture_id,cv_split,seed
1,1,1159,train,7
1,1,1161,train,7
1,1,1162,train,7
1,1,1163,train,7
1,1,1164,train,7
1,1,1167,train,7
1,1,1169,train,7
1,1,1189,train,7
1,1,1190,train,7
1,1,1198,train,7
1,1,1202,train,7
1,1,1204,train,7
1,1,1205,train,7
1,1,1206,train,7
1,1,1207,train,7
1,1,1215,train,7
1,1,1216,train,7
1,1,1219,train,7
1,1,1220,train,7
1,1,1221,train,7
1,1,1237,train,7
1,1,1160,val,7
1,1,1165,val,7
1,1,1166,val,7
1,1,1170,val,7
1,1,1171,val,7
1,1,1188,val,7
1,1,1191,val,7
1,1,1200,val,7
1,1,1201,val,7
1,1,1225,val,7
1,2,1160,train,7
1,2,1161,train,7
1,2,1165,train,7
1,2,1166,train,7
1,2,1169,train,7
1,2,1170,train,7
1,2,1171,train,7
1,2,1188,train,7
1,2,1189,train,7
1,2,1190,train,7
1,2,1191,train,7
1,2,1198,train,7
1,2,1200,train,7
1,2,1201,train,7
1,2,1204,train,7
1,2,1206,train,7
1,2,1207,train,7
1,2,1219,train,7
1,2,1220,train,7
1,2,1225,train,7
1,2,1237,train,7
1,2,1159,val,7
1,2,1162,val,7
1,2,1163,val,7
1,2,1164,val,7
1,2,1167,val,7
1,2,1202,val,7
1,2,1205,val,7
1,2,1215,val,7
1,2,1216,val,7
1,2,1221,val,7
1,3,1159,train,7
1,3,1160,train,7
1,3,1162,train,7
1,3,1163,train,7
1,3,1164,train,7
1,3,1165,train,7
1,3,1166,train,7
1,3,1167,train,7
1,3,1170,train,7
1,3,1171,train,7
1,3,1188,train,7
1,3,1191,train,7
1,3,1200,train,7
1,3,1201,train,7
1,3,1202,train,7
1,3,1205,train,7
1,3,1215,train,7
1,3,1216,train,7
1,3,1221,train,7
1,3,1225,train,7
1,3,1161,val,7
1,3,1169,val,7
1,3,1189,val,7
1,3,1190,val,7
1,3,1198,val,7
1,3,1204,val,7
1,3,1206,val,7
1,3,1207,val,7
1,3,1219,val,7
1,3,1220,val,7
1,3,1237,val,7
2,1,1159,train,8
2,1,1160,train,8
2,1,1161,train,8
2,1,1162,train,8
2,1,1163,train,8
2,1,1164,train,8
2,1,1166,train,8
2,1,1167,train,8
2,1,1169,train,8
2,1,1189,train,8
2,1,1190,train,8
2,1,1198,train,8
2,1,1202,train,8
2,1,1205,train,8
2,1,1206,train,8
2,1,1207,train,8
2,1,1215,train,8
2,1,1216,train,8
2,1,1220,train,8
2,1,1221,train,8
2,1,1237,train,8
2,1,1165,val,8
2,1,1170,val,8
2,1,1171,val,8
2,1,1188,val,8
2,1,1191,val,8
2,1,1200,val,8
2,1,1201,val,8
2,1,1204,val,8
2,1,1219,val,8
2,1,1225,val,8
2,2,1160,train,8
2,2,1161,train,8
2,2,1163,train,8
2,2,1164,train,8
2,2,1165,train,8
2,2,1169,train,8
2,2,1170,train,8
2,2,1171,train,8
2,2,1188,train,8
2,2,1189,train,8
2,2,1190,train,8
2,2,1191,train,8
2,2,1198,train,8
2,2,1200,train,8
2,2,1201,train,8
2,2,1202,train,8
2,2,1204,train,8
2,2,1205,train,8
2,2,1219,train,8
2,2,1225,train,8
2,2,1237,train,8
2,2,1159,val,8
2,2,1162,val,8
2,2,1166,val,8
2,2,1167,val,8
2,2,1206,val,8
2,2,1207,val,8
2,2,1215,val,8
2,2,1216,val,8
2,2,1220,val,8
2,2,1221,val,8
2,3,1159,train,8
2,3,1162,train,8
2,3,1165,train,8
2,3,1166,train,8
2,3,1167,train,8
2,3,1170,train,8
2,3,1171,train,8
2,3,1188,train,8
2,3,1191,train,8
2,3,1200,train,8
2,3,1201,train,8
2,3,1204,train,8
2,3,1206,train,8
2,3,1207,train,8
2,3,1215,train,8
2,3,1216,train,8
2,3,1219,train,8
2,3,1220,train,8
2,3,1221,train,8
2,3,1225,train,8
2,3,1160,val,8
2,3,1161,val,8
2,3,1163,val,8
2,3,1164,val,8
2,3,1169,val,8
2,3,1189,val,8
2,3,1190,val,8
2,3,1198,val,8
2,3,1202,val,8
2,3,1205,val,8
2,3,1237,val,8
