repeat,fold,cv_split,seed,rows,fixtures,player_appearances,players,positives,positive_rate
1,1,train,7,2164,21,546,256,122,0.056377079482439925
1,1,val,7,1044,10,262,200,60,0.05747126436781609
1,2,train,7,2165,21,551,273,113,0.052193995381062355
1,2,val,7,1043,10,257,176,69,0.06615532118887824
1,3,train,7,2087,20,519,262,129,0.06181121226641112
1,3,val,7,1121,11,289,199,53,0.04727921498661909
2,1,train,8,2164,21,542,252,122,0.056377079482439925
2,1,val,8,1044,10,266,195,60,0.05747126436781609
2,2,train,8,2165,21,562,272,113,0.052193995381062355
2,2,val,8,1043,10,246,180,69,0.06615532118887824
2,3,train,8,2087,20,512,251,129,0.06181121226641112
2,3,val,8,1121,11,296,196,53,0.04727921498661909
