column,role
player_appearance_id,dropped_from_model
checkpoint,predictor
last_15_received_succ,predictor
last_15_received_unsucc,predictor
cumul_received_succ,predictor
cumul_received_unsucc,predictor
last15_top_sprint_count,predictor
last15_top_hsr_count,predictor
last15_middle_sprint_count,predictor
last15_middle_hsr_count,predictor
last15_bottom_sprint_count,predictor
last15_bottom_hsr_count,predictor
cumul_top_sprint_count,predictor
cumul_top_hsr_count,predictor
cumul_middle_sprint_count,predictor
cumul_middle_hsr_count,predictor
cumul_bottom_sprint_count,predictor
cumul_bottom_hsr_count,predictor
date,dropped_from_model
fixture_id,dropped_from_model
player_id,dropped_from_model
scored_after,target
split,split_metadata
fixture_order,dropped_from_model
