fixture_id,date,rows,positives,split,fixture_order,cum_rows,cum_share,split_seed,split_method
1166,2025-06-12,110,13,test,1,110,0.03428927680798005,7,seeded_grouped_fixture_split
1170,2025-06-14,110,15,test,2,220,0.0685785536159601,7,seeded_grouped_fixture_split
1188,2025-06-17,105,6,test,3,325,0.10130922693266833,7,seeded_grouped_fixture_split
1189,2025-06-15,110,0,test,4,435,0.13559850374064839,7,seeded_grouped_fixture_split
1207,2025-06-18,110,3,test,5,545,0.16988778054862844,7,seeded_grouped_fixture_split
1219,2025-06-25,110,1,test,6,655,0.2041770573566085,7,seeded_grouped_fixture_split
1220,2025-06-25,110,5,test,7,765,0.23846633416458854,7,seeded_grouped_fixture_split
1159,2025-06-11,109,13,train,8,874,0.2724438902743142,7,seeded_grouped_fixture_split
1160,2025-06-11,110,1,train,9,984,0.30673316708229426,7,seeded_grouped_fixture_split
1162,2025-06-11,110,0,train,10,1094,0.3410224438902743,7,seeded_grouped_fixture_split
1163,2025-06-12,110,3,train,11,1204,0.37531172069825436,7,seeded_grouped_fixture_split
1164,2025-06-12,110,13,train,12,1314,0.4096009975062344,7,seeded_grouped_fixture_split
1167,2025-06-14,17,0,train,13,1331,0.4149002493765586,7,seeded_grouped_fixture_split
1171,2025-06-14,110,3,train,14,1441,0.44918952618453867,7,seeded_grouped_fixture_split
1190,2025-06-15,110,4,train,15,1551,0.4834788029925187,7,seeded_grouped_fixture_split
1191,2025-06-15,110,3,train,16,1661,0.5177680798004988,7,seeded_grouped_fixture_split
1200,2025-06-17,109,6,train,17,1770,0.5517456359102244,7,seeded_grouped_fixture_split
1201,2025-06-17,16,1,train,18,1786,0.5567331670822943,7,seeded_grouped_fixture_split
1202,2025-06-17,110,7,train,19,1896,0.5910224438902744,7,seeded_grouped_fixture_split
1205,2025-06-18,110,5,train,20,2006,0.6253117206982544,7,seeded_grouped_fixture_split
1206,2025-06-18,110,7,train,21,2116,0.6596009975062345,7,seeded_grouped_fixture_split
1216,2025-06-21,110,16,train,22,2226,0.6938902743142145,7,seeded_grouped_fixture_split
1221,2025-06-22,151,12,train,23,2377,0.7409600997506235,7,seeded_grouped_fixture_split
1225,2025-06-28,154,7,train,24,2531,0.7889650872817955,7,seeded_grouped_fixture_split
1237,2025-06-21,110,4,train,25,2641,0.8232543640897756,7,seeded_grouped_fixture_split
1161,2025-06-11,21,2,val,26,2662,0.8298004987531172,7,seeded_grouped_fixture_split
1165,2025-06-12,110,5,val,27,2772,0.8640897755610972,7,seeded_grouped_fixture_split
1169,2025-06-14,110,0,val,28,2882,0.8983790523690773,7,seeded_grouped_fixture_split
1198,2025-06-15,110,14,val,29,2992,0.9326683291770573,7,seeded_grouped_fixture_split
1204,2025-06-18,110,13,val,30,3102,0.9669576059850374,7,seeded_grouped_fixture_split
1215,2025-06-21,106,0,val,31,3208,1.0,7,seeded_grouped_fixture_split
