model_feature,coefficient,abs_coefficient
num__last15_run_detail_mean_distance,0.8972097675679805,0.8972097675679805
cat__subbed_False,-0.8712527174596442,0.8712527174596442
cat__position_G,-0.792625984965163,0.792625984965163
num__cumul_under_pressure_unique_pressers,0.7859258871543964,0.7859258871543964
cat__formation_3-4-3,-0.7169335292338747,0.7169335292338747
num__cumul_under_pressure_turnover_count,0.6317775469643024,0.6317775469643024
num__cumul_under_pressure_forward_count,-0.630124348667661,0.630124348667661
num__cumul_applied_pressure_top_share_per15,-0.6293754256922005,0.6293754256922005
cat__formation_4-1-3-2,-0.6202311911433458,0.6202311911433458
num__cumul_pass_no_target_rate_per15,0.5894174568819652,0.5894174568819652
num__cumul_under_pressure_top_share,-0.5840941743370447,0.5840941743370447
num__cumul_pass_no_target_count,-0.5839796715405254,0.5839796715405254
num__cumul_run_detail_top_sprint_count,-0.5616064146174081,0.5616064146174081
num__cumul_shot_context_set_piece_count,0.5506695929666865,0.5506695929666865
num__cumul_applied_pressure_count,-0.5499164482298515,0.5499164482298515
num__cumul_shot_context_blocked_share,-0.522823093399612,0.522823093399612
num__cumul_under_pressure_top_share_per15,0.5164014714538359,0.5164014714538359
cat__formation_4-1-4-1,0.5156944776509336,0.5156944776509336
cat__formation_4-2-4,-0.5154095850356294,0.5154095850356294
num__cumul_run_detail_sprint_distance,-0.49813004366514285,0.49813004366514285
num__cumul_pass_bottom_count_per15,-0.47898886397454776,0.47898886397454776
num__cumul_applied_pressure_allowed_forward_count,0.4785483262153193,0.4785483262153193
num__cumul_run_detail_top_count_per15,0.47762877194977926,0.47762877194977926
num__cumul_pass_top_count,-0.47535086473705523,0.47535086473705523
num__cumul_peak_speed,0.450914658883682,0.450914658883682
num__cumul_under_pressure_backward_count_per15,-0.4325843226071906,0.4325843226071906
cat__formation_4-2-3-1,0.430246704971007,0.430246704971007
num__cumul_run_detail_unique_possessions_per15,0.4248364789523991,0.4248364789523991
num__remaining_minutes,0.4212707483367878,0.4212707483367878
num__remaining_windows_15,0.42127074833678674,0.42127074833678674
cat__is_home_True,-0.41274135040814863,0.41274135040814863
num__last15_run_detail_sprint_distance,-0.4116955359208133,0.4116955359208133
num__cumul_pass_unique_receivers,-0.40840320762316945,0.40840320762316945
