player_appearance_id,window_type,start_checkpoint,end_checkpoint,start_abs,end_abs,window_id,id,period,body_part,technique,play_pattern,own_goal_player_appearance_id,block_player_appearance_id,minute,possession,stage,under_pressure,abs_minute
39426,transition,H1_45,H2_15,45,60,1,158,half_2,left_foot,normal,penalty,,,8,2284,top,False,53
39435,transition,H1_45,H2_15,45,60,2,154,half_2,right_foot,normal,counter_attack,,,3,2284,top,True,48
39438,transition,H1_15,H1_30,15,30,3,147,half_1,right_foot,normal,regular_play,,,16,2285,top,True,16
39440,tail,H2_30,END,75,90,4,146,half_2,head,lob,corner_kick,,,45,2285,top,True,90
39444,transition,H1_15,H1_30,15,30,5,148,half_1,left_foot,volley,regular_play,,,18,2285,top,True,18
39477,transition,H1_15,H1_30,15,30,6,167,half_1,left_foot,normal,regular_play,,,26,2286,top,True,26
39610,transition,H1_15,H1_30,15,30,7,235,half_1,left_foot,normal,regular_play,,,25,2292,top,True,25
39614,transition,H1_15,H1_30,15,30,8,237,half_1,right_foot,normal,regular_play,,,28,2292,top,False,28
39654,transition,H1_15,H1_30,15,30,10,260,half_1,left_foot,other,regular_play,,,22,2294,top,True,22
39662,tail,H2_30,END,75,80,11,271,half_2,right_foot,normal,regular_play,,39666.0,32,2294,top,True,77
39662,tail,H2_30,END,75,80,11,272,half_2,right_foot,normal,corner_kick,,,33,2294,top,False,78
39671,tail,H2_30,END,75,81,12,273,half_2,right_foot,normal,regular_play,,,36,2295,top,True,81
39672,tail,H2_30,END,75,90,13,274,half_2,other,other,regular_play,,,40,2295,top,True,85
39679,transition,H2_15,H2_30,60,75,14,265,half_2,right_foot,normal,regular_play,,,17,2295,top,True,62
39703,tail,H2_30,END,75,86,15,287,half_2,right_foot,normal,penalty,,,37,2296,top,False,82
39745,transition,H1_45,H2_15,45,60,16,316,half_2,head,normal,regular_play,,,6,2298,top,True,51
39760,tail,H2_30,END,75,90,17,319,half_2,head,normal,corner_kick,,,31,2299,top,True,76
39763,transition,H1_45,H2_15,45,60,18,315,half_2,left_foot,normal,regular_play,,,3,2299,top,True,48
39769,transition,H1_30,H1_45,30,45,19,310,half_1,left_foot,normal,regular_play,,,39,2299,top,False,39
39930,transition,H1_30,H1_45,30,45,20,389,half_1,head,normal,regular_play,,,34,2306,top,True,34
39930,transition,H1_30,H1_45,30,45,20,390,half_1,right_foot,normal,penalty,,,35,2306,top,False,35
39931,tail,H2_30,END,75,90,21,398,half_2,right_foot,normal,regular_play,,,44,2306,top,True,89
39949,tail,H2_30,END,75,90,23,411,half_2,head,normal,regular_play,,,39,2307,top,False,84
39953,tail,H2_30,END,75,90,24,407,half_2,left_foot,normal,regular_play,,,31,2307,top,True,76
39981,tail,H2_30,END,75,90,25,439,half_2,right_foot,normal,regular_play,,,33,2308,top,True,78
39981,tail,H2_30,END,75,90,25,440,half_2,right_foot,normal,regular_play,,,40,2308,top,False,85
39984,tail,H2_30,END,75,90,26,432,half_2,right_foot,other,regular_play,,,43,2308,top,True,88
40731,transition,H1_15,H1_30,15,30,27,860,half_1,right_foot,normal,regular_play,,,24,2343,top,True,24
40741,transition,H2_15,H2_30,60,75,29,866,half_2,right_foot,normal,regular_play,,,17,2343,top,True,62
40830,transition,H1_15,H1_30,15,30,30,907,half_1,right_foot,normal,regular_play,,40807.0,23,2347,top,True,23
40830,transition,H1_15,H1_30,15,30,30,908,half_1,left_foot,normal,regular_play,,,28,2347,top,True,28
