player_appearance_id,window_type,start_checkpoint,end_checkpoint,start_abs,end_abs,window_id,n_candidate_shots,inference_status
39426,transition,H1_45,H2_15,45,60,1,1,exact_single_shot
39435,transition,H1_45,H2_15,45,60,2,1,exact_single_shot
39438,transition,H1_15,H1_30,15,30,3,1,exact_single_shot
39440,tail,H2_30,END,75,90,4,1,exact_single_shot
39444,transition,H1_15,H1_30,15,30,5,1,exact_single_shot
39477,transition,H1_15,H1_30,15,30,6,1,exact_single_shot
39610,transition,H1_15,H1_30,15,30,7,1,exact_single_shot
39614,transition,H1_15,H1_30,15,30,8,1,exact_single_shot
39646,tail,H2_30,END,75,90,9,0,no_shot_found
39654,transition,H1_15,H1_30,15,30,10,1,exact_single_shot
39662,tail,H2_30,END,75,80,11,2,ambiguous_multiple_shots
39671,tail,H2_30,END,75,81,12,1,exact_single_shot
39672,tail,H2_30,END,75,90,13,1,exact_single_shot
39679,transition,H2_15,H2_30,60,75,14,1,exact_single_shot
39703,tail,H2_30,END,75,86,15,1,exact_single_shot
39745,transition,H1_45,H2_15,45,60,16,1,exact_single_shot
39760,tail,H2_30,END,75,90,17,1,exact_single_shot
39763,transition,H1_45,H2_15,45,60,18,1,exact_single_shot
39769,transition,H1_30,H1_45,30,45,19,1,exact_single_shot
39930,transition,H1_30,H1_45,30,45,20,2,ambiguous_multiple_shots
39931,tail,H2_30,END,75,90,21,1,exact_single_shot
39940,tail,H2_30,END,75,90,22,0,no_shot_found
39949,tail,H2_30,END,75,90,23,1,exact_single_shot
39953,tail,H2_30,END,75,90,24,1,exact_single_shot
39981,tail,H2_30,END,75,90,25,2,ambiguous_multiple_shots
39984,tail,H2_30,END,75,90,26,1,exact_single_shot
40731,transition,H1_15,H1_30,15,30,27,1,exact_single_shot
40737,tail,H2_30,END,75,90,28,0,no_shot_found
40741,transition,H2_15,H2_30,60,75,29,1,exact_single_shot
40830,transition,H1_15,H1_30,15,30,30,3,ambiguous_multiple_shots
40836,transition,H1_45,H2_15,45,60,31,1,exact_single_shot
40875,transition,H1_45,H2_15,45,60,32,1,exact_single_shot
41162,transition,H2_15,H2_30,60,75,33,1,exact_single_shot
41171,transition,H1_45,H2_15,45,60,34,1,exact_single_shot
41173,transition,H1_30,H1_45,30,45,35,1,exact_single_shot
41174,transition,H1_45,H2_15,45,60,36,1,exact_single_shot
41181,transition,H1_30,H1_45,30,45,37,1,exact_single_shot
41245,transition,H1_45,H2_15,45,60,38,1,exact_single_shot
41263,transition,H1_45,H2_15,45,60,39,1,exact_single_shot
41326,transition,H2_15,H2_30,60,75,40,1,exact_single_shot
41346,transition,H1_45,H2_15,45,60,41,3,ambiguous_multiple_shots
41421,transition,H2_15,H2_30,60,75,42,1,exact_single_shot
41436,transition,H2_15,H2_30,60,75,43,1,exact_single_shot
41443,tail,H2_30,END,75,90,44,1,exact_single_shot
41472,transition,H1_45,H2_15,45,60,45,1,exact_single_shot
41474,transition,H1_30,H1_45,30,45,46,1,exact_single_shot
41518,tail,H2_30,END,75,90,47,2,ambiguous_multiple_shots
41533,transition,H1_30,H1_45,30,45,48,2,ambiguous_multiple_shots
41572,transition,H1_45,H2_15,45,60,49,2,ambiguous_multiple_shots
41891,transition,H1_45,H2_15,45,60,50,1,exact_single_shot
41894,transition,H1_15,H1_30,15,30,51,1,exact_single_shot
41908,tail,H2_30,END,75,90,52,1,exact_single_shot
41914,transition,H1_30,H1_45,30,45,53,2,ambiguous_multiple_shots
41916,tail,H2_30,END,75,90,54,3,ambiguous_multiple_shots
42166,tail,H2_30,END,75,90,55,2,ambiguous_multiple_shots
42205,tail,H2_30,END,75,90,56,1,exact_single_shot
42294,tail,ET1_15,END,105,120,57,2,ambiguous_multiple_shots
42296,transition,H2_15,H2_30,60,75,58,2,ambiguous_multiple_shots
42300,transition,H2_30,H2_45,75,90,59,1,exact_single_shot
42312,transition,H2_45,ET1_15,90,105,60,1,exact_single_shot
42318,transition,H1_45,H2_15,45,60,61,2,ambiguous_multiple_shots
42716,transition,H1_45,H2_15,45,60,62,2,ambiguous_multiple_shots
42717,transition,H2_15,H2_30,60,75,63,1,exact_single_shot
43976,transition,H1_30,H1_45,30,45,64,2,ambiguous_multiple_shots
43991,tail,H2_30,END,75,90,65,0,no_shot_found
65534,transition,H1_30,H1_45,30,45,66,1,exact_single_shot
65535,transition,H1_15,H1_30,15,30,67,1,exact_single_shot
65539,transition,H1_15,H1_30,15,30,68,2,ambiguous_multiple_shots
65544,transition,H2_15,H2_30,60,75,69,1,exact_single_shot
65580,transition,H2_15,H2_30,60,75,70,2,ambiguous_multiple_shots
65593,transition,H1_45,H2_15,45,60,71,1,exact_single_shot
65597,tail,H2_30,END,75,90,72,0,no_shot_found
65763,tail,H2_30,END,75,90,73,2,ambiguous_multiple_shots
65769,transition,H1_15,H1_30,15,30,74,1,exact_single_shot
65771,transition,H1_15,H1_30,15,30,75,3,ambiguous_multiple_shots
65775,transition,H2_15,H2_30,60,75,76,1,exact_single_shot
