player_appearance_id,window_type,start_checkpoint,end_checkpoint,start_abs,end_abs,window_id,id,period,body_part,technique,play_pattern,own_goal_player_appearance_id,block_player_appearance_id,minute,possession,stage,under_pressure,abs_minute,inference_status,fixture_id,date,pre_goal_checkpoint,position,is_home,formation,minute_in,minute_out,subbed,last15_sprints,last15_hsr,last15_distance,last15_mean_max_speed,last15_peak_speed,last15_shots,last15_shots_on_target,last15_shots_under_press,last15_shots_top_third,cumul_sprints,cumul_hsr,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_shots,cumul_shots_on_target,cumul_shots_under_press,cumul_shots_top_third
39426,transition,H1_45,H2_15,45,60,1,158,half_2,left_foot,normal,penalty,,,8,2284,top,False,53,exact_single_shot,1159,2025-06-11,H1_45,M,True,4-1-4-1,1,87,True,1,8,123.75,6.59,7.22,1,1,1,1,6,23,337.26,6.659,8.45,1,1,1,1
39435,transition,H1_45,H2_15,45,60,2,154,half_2,right_foot,normal,counter_attack,,,3,2284,top,True,48,exact_single_shot,1159,2025-06-11,H1_45,D,True,4-1-4-1,1,90,False,3,4,109.61,7.51,8.79,0,0,0,0,6,22,345.42,6.761,8.79,1,1,0,1
39438,transition,H1_15,H1_30,15,30,3,147,half_1,right_foot,normal,regular_play,,,16,2285,top,True,16,exact_single_shot,1159,2025-06-11,H1_15,D,False,4-1-4-1,1,90,False,5,11,233.68,7.098,9.48,0,0,0,0,5,11,233.68,7.098,9.48,0,0,0,0
39440,tail,H2_30,END,75,90,4,146,half_2,head,lob,corner_kick,,,45,2285,top,True,90,exact_single_shot,1159,2025-06-11,H2_30,D,False,4-1-4-1,1,90,False,0,3,41.19,6.303,7.09,0,0,0,0,5,25,361.43,6.497,8.03,1,0,1,1
39444,transition,H1_15,H1_30,15,30,5,148,half_1,left_foot,volley,regular_play,,,18,2285,top,True,18,exact_single_shot,1159,2025-06-11,H1_15,A,False,4-1-4-1,1,66,True,2,4,65.97,6.848,7.38,0,0,0,0,2,4,65.97,6.848,7.38,0,0,0,0
39477,transition,H1_15,H1_30,15,30,6,167,half_1,left_foot,normal,regular_play,,,26,2286,top,True,26,exact_single_shot,1160,2025-06-11,H1_15,M,True,4-4-2,1,86,True,0,3,35.55,6.023,6.39,1,0,1,1,0,3,35.55,6.023,6.39,1,0,1,1
39610,transition,H1_15,H1_30,15,30,7,235,half_1,left_foot,normal,regular_play,,,25,2292,top,True,25,exact_single_shot,1163,2025-06-12,H1_15,M,True,4-3-3,1,74,True,2,14,238.12,6.659,7.73,0,0,0,0,2,14,238.12,6.659,7.73,0,0,0,0
39614,transition,H1_15,H1_30,15,30,8,237,half_1,right_foot,normal,regular_play,,,28,2292,top,False,28,exact_single_shot,1163,2025-06-12,H1_15,M,True,4-3-3,1,90,False,2,7,122.97,6.613,9.09,0,0,0,0,2,7,122.97,6.613,9.09,0,0,0,0
39654,transition,H1_15,H1_30,15,30,10,260,half_1,left_foot,other,regular_play,,,22,2294,top,True,22,exact_single_shot,1164,2025-06-12,H1_15,M,True,4-2-3-1,1,64,True,3,11,144.75,6.748,8.53,0,0,0,0,3,11,144.75,6.748,8.53,0,0,0,0
39671,tail,H2_30,END,75,81,12,273,half_2,right_foot,normal,regular_play,,,36,2295,top,True,81,exact_single_shot,1164,2025-06-12,H2_30,M,False,4-1-4-1,1,81,True,1,10,96.19,6.296,7.35,0,0,0,0,10,50,821.85,6.72,9.18,0,0,0,0
39672,tail,H2_30,END,75,90,13,274,half_2,other,other,regular_play,,,40,2295,top,True,85,exact_single_shot,1164,2025-06-12,H2_30,A,False,4-1-4-1,71,90,False,1,3,88.07,7.115,9.92,0,0,0,0,1,3,88.07,7.115,9.92,0,0,0,0
39679,transition,H2_15,H2_30,60,75,14,265,half_2,right_foot,normal,regular_play,,,17,2295,top,True,62,exact_single_shot,1164,2025-06-12,H2_15,M,False,4-1-4-1,57,90,False,0,2,18.24,6.11,6.43,0,0,0,0,0,2,18.24,6.11,6.43,0,0,0,0
