,perm_delta_prauc
cumul_shots_under_pressure,-0.004555861726267256
last_15_received_succ,-0.0022635711858344024
cumul_shots_blocked,-0.0012880823610455505
last15_shots,-0.0008708203256643024
last_15_received_unsucc,-0.0006135586200457233
last_15_pressured_unsucc,-0.0005131807745099512
checkpoint_min,-7.897730897612337e-05
last_15_times_pressured,0.0007013823060386809
last_15_shots_total,0.0007445336232788577
last15_bottom_sprint_count,0.0008208944766913487
last_15_shots_set_play,0.0008991516655466533
last_15_pressures_lost,0.0010569733547986931
last_15_shots_blocked,0.0013430881358716465
cumul_shots_total,0.0018581883506980298
last_15_pressures_applied,0.0021156455208084513
last_15_pressure_success_rate,0.0023151865097752952
position,0.0024052349743017565
top_sprint_distance,0.0030565193488181278
cumul_times_pressured,0.003151947838649652
last_15_shots_under_pressure_rate,0.0032004966289435333
last_15_pressured_succ,0.0032815562637599008
cumul_peak_speed,0.003409998933074032
last_15_shots_under_pressure,0.0037615539905691622
cumul_pressured_unsucc,0.0039384009935731976
is_home,0.0042686015627968615
checkpoint,0.004309606798106755
sprint_distance_share,0.004364760297112642
cumul_pressures_lost,0.004685042564860575
cumul_pressures_applied,0.0052643780328774994
cumul_received_succ,0.005950362935960983
distance_per_possession,0.006329010403500784
last15_distance,0.006384414179748894
last15_mean_max_speed,0.007182892911479832
last_15_pressured_success_rate,0.0076497755388213184
possessions_with_2plus_runs,0.008158963914035797
cumul_pressures_won,0.008402769227685028
checkpoint_period,0.00936902242340111
cumul_bottom_sprint_share,0.011325860378307448
top_distance_share,0.01179000432327866
formation,0.012153160951370395
possessions_with_sprint_and_hsr,0.012324283607795784
cumul_shots_set_play,0.012349020806911512
avg_top_sprint_distance,0.012380090621314878
cumul_bottom_run_share,0.012770801132028789
cumul_shots_under_pressure_rate,0.014006073167200747
cumul_distance,0.014618794212354631
cumul_pressured_succ,0.014755253727516154
cumul_top_run_share,0.014807883378428359
distance_per_run,0.015465004595728339
cumul_pressure_success_rate,0.016250877701058396
cumul_unique_run_possessions,0.016354523152052027
cumul_mean_max_speed,0.016898393035096534
last_15_shots_special,0.017798615756530946
last15_top_run_share,0.017848144596840428
last_15_pressures_won,0.018319048823041882
cumul_in_game_time,0.019286328752260204
cumul_received_unsucc,0.025628122774008145
cumul_shots_special,0.030412720844458507
share_of_possessions_with_top_run,0.03572292622736111
last15_top_sprint_share,0.04203480043813359
cumul_pressured_success_rate,0.06019845647658464
