feature,cluster_id,cluster_reason,cluster_size
checkpoint,corr_cluster_1,high_correlation,2
cumul_pressures_lost,corr_cluster_6,high_correlation,3
cumul_pressures_applied,corr_cluster_6,high_correlation,3
checkpoint_period,corr_cluster_1,high_correlation,2
cumul_times_pressured,corr_cluster_4,high_correlation,3
cumul_pressures_won,corr_cluster_6,high_correlation,3
last_15_pressures_lost,corr_cluster_5,high_correlation,2
last_15_pressures_applied,corr_cluster_5,high_correlation,2
cumul_pressured_unsucc,corr_cluster_4,high_correlation,3
cumul_shots_under_pressure,corr_cluster_9,high_correlation,3
last15_shots,corr_cluster_3,high_correlation,4
last_15_shots_total,corr_cluster_3,high_correlation,4
last_15_shots_under_pressure,corr_cluster_3,high_correlation,4
cumul_shots_total,corr_cluster_9,high_correlation,3
last_15_shots_under_pressure_rate,corr_cluster_3,high_correlation,4
top_sprint_distance,corr_cluster_7,high_correlation,3
last15_distance,corr_cluster_2,high_correlation,2
cumul_shots_under_pressure_rate,corr_cluster_9,high_correlation,3
distance_per_possession,corr_cluster_2,high_correlation,2
avg_top_sprint_distance,corr_cluster_7,high_correlation,3
cumul_pressured_succ,corr_cluster_4,high_correlation,3
top_distance_share,corr_cluster_8,high_correlation,2
last15_top_run_share,corr_cluster_8,high_correlation,2
last15_top_sprint_share,corr_cluster_7,high_correlation,3
