,checkpoint,checkpoint_min,position,is_home,formation,last15_distance,last15_mean_max_speed,last15_shots,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_in_game_time,last_15_received_succ,last_15_received_unsucc,cumul_received_succ,cumul_received_unsucc,last_15_pressured_succ,last_15_pressured_unsucc,cumul_times_pressured,cumul_pressured_succ,last_15_pressured_success_rate,cumul_pressured_success_rate,last_15_pressures_applied,last_15_pressures_won,cumul_pressures_applied,cumul_pressures_won,cumul_pressures_lost,last_15_pressure_success_rate,cumul_pressure_success_rate,last15_bottom_sprint_count,top_sprint_distance,possessions_with_2plus_runs,possessions_with_sprint_and_hsr,cumul_unique_run_possessions,cumul_top_run_share,cumul_bottom_run_share,cumul_bottom_sprint_share,last15_top_run_share,last15_top_sprint_share,distance_per_run,distance_per_possession,top_distance_share,sprint_distance_share,avg_top_sprint_distance,share_of_possessions_with_top_run,last_15_shots_total,last_15_shots_special,last_15_shots_set_play,last_15_shots_blocked,last_15_shots_under_pressure,cumul_shots_total,cumul_shots_special,cumul_shots_set_play,cumul_shots_blocked,cumul_shots_under_pressure,last_15_shots_under_pressure_rate,cumul_shots_under_pressure_rate
checkpoint,1.0,0.21467700264671086,-0.0013781898240032425,0.0027423123825181983,2.7910663823207143e-05,-0.10369054938778484,-0.00826919921446471,0.046078695258420316,0.45458603876873666,0.06754974608448698,0.2428338927287597,0.745901061776104,-0.09124869377318502,-0.009131125634633011,0.40162550383717843,0.34849271020043576,-0.22806338313360858,-0.161992363582575,0.3585822073940042,0.3188686590816305,-0.1290164933553436,-0.005516998161457408,-0.2137415796211797,-0.14927173698768373,0.30005385748495,0.33385098531639285,0.22715980610620762,-0.04716464837910043,0.03956168205341433,-0.09171981280612844,-0.028189671542226572,-0.10240124870903654,-0.08672026613096027,0.05395342909574309,-0.0029127459184573098,0.04287234017766709,0.07728132707864939,-0.018379342574090116,-0.014480576467039428,0.010130945316471143,-0.08155381243926117,-0.014778055672211339,-0.018620979477074102,-0.025706556669142233,-0.0396345202279109,0.04239997083175376,0.006057223036510909,0.04465436841838388,-0.008509292670763363,0.04115055449356075,0.21927045965594505,0.07765584440630491,0.1493898708250434,0.10090955943271382,0.1947824080326373,0.04160441715867737,0.1841904395648088
checkpoint_min,0.21467700264671086,1.0,0.004224199214368156,-0.0004329862995108587,-0.005332942807991608,-0.1578583714255676,-0.008434422774607743,0.005156215925331963,0.14978881936156926,0.024837430908180008,0.10126544298334239,0.21553932333123343,-0.03570153445654245,-0.04302844058702646,0.16425338607393608,0.1034649879448568,-0.015867660518199666,0.0027414039423084464,0.16715535593932382,0.14985135026235535,-0.026560869432038465,0.01119403875025151,-0.006949937150286258,-0.016443322462961117,0.15191773481358503,0.14424091196661432,0.12824436714724324,-0.025547113609386076,0.026944891196429926,-0.06964511332660447,-0.07115125020730757,-0.07806522346139466,-0.07326644890265058,0.04611900173352724,-0.0017249278097567736,0.01610189241438904,0.04576206307867824,-0.04478483625945571,-0.0678337768987327,-0.009537109156634568,-0.14412382445429073,-0.04104704451378987,-0.008040148658613893,-0.06400407523491304,-0.07617073516598563,0.006970427535902655,-0.038039920655185536,0.024269803981626092,-0.011480025260927392,-0.01024746970704048,0.06791813356888773,0.017586471598288616,0.032891785277051694,0.03315561177080754,0.05220311083560053,-0.009631727957589988,0.054978098545185365
position,-0.0013781898240032425,0.004224199214368156,1.0,0.02817944276151701,-0.06480665473641228,0.010106455978568525,-0.13746241904621365,-0.0428440704181214,0.009670428384061739,-0.16964436282033726,-0.11080602185955961,-0.0014556455079026685,0.048685203685796534,0.0001635173373298746,0.021355048012350154,0.0039751036834087825,0.12090208208430064,0.021169513447326323,0.0727470394702326,0.12527313552623137,0.0600827872573913,0.09992167805568383,0.052265679150780404,0.0454020338995406,0.03912547016951387,0.02406788640235781,0.05894118998273657,0.00841897256283484,-0.07986077165934673,0.012603683533827265,-0.09962455552431074,-0.025356517758779916,-0.06137397470585472,-0.05069934382490408,-0.07085235092909448,0.035318992826621536,-0.01266219993974122,-0.07208152300723117,-0.09455898141041062,-0.008715496311507257,0.005311851692703869,-0.08016948432372134,-0.11085852095850164,-0.0926207700873616,-0.03984302206173,-0.047620638168458185,-0.04557183961250069,-0.04024434093791805,-0.008106797390225243,-0.04744323802245711,-0.05876753128936547,-0.08613359656139202,-0.04537623245756747,0.007037045480034789,-0.08760981447868016,-0.047775505617318026,-0.0886515509741646
is_home,0.0027423123825181983,-0.0004329862995108587,0.02817944276151701,1.0,0.03963944065647317,0.0018668859093982782,-0.02085449756243297,0.021897115195042147,0.00043274352346974626,-0.02447280200929827,-0.02055843193024881,-0.012377660993093852,-0.020344560623970342,-0.0008608342504844042,-0.03215595405648832,-0.01491076070750855,-0.01108777791531345,0.03836870051282498,-0.0015259859198324763,-0.03304742858105699,-0.024044574097188666,-0.05683213277037094,-0.00812870130540015,-0.03212860061874574,-0.006313031330655078,-0.05327235583139779,0.024115588206576135,-0.03307026661081128,-0.051438534263388236,-0.02532766938499698,-0.000555130501288843,-0.027343506422887066,-0.03075970906384845,-0.007954190351443707,0.005388466463380532,0.0036046160348901747,-0.020285226393913353,0.005482992028612985,-0.007628865316504867,-0.0016748064947901486,0.003349612989580297,0.00890999424447155,-0.021667390501418998,-0.0024838774306814785,0.013444011022240198,0.016450470511020766,0.013625077190970633,0.01814948466187199,-0.005966160253258395,0.023231642572251698,0.0047742472795126835,0.022776963646974246,0.0119497796333113,-0.005180959978505362,0.031662915824174215,0.024395040543381166,0.034787496001153585
formation,2.7910663823207143e-05,-0.005332942807991608,-0.06480665473641228,0.03963944065647317,1.0,0.052661429553872985,-0.02572413709493143,0.021865606842421184,0.05452422650347096,-0.030495121445693475,-0.033089205856086684,-0.011785561594561303,0.04485405479641191,0.07446910970132763,0.07246385459428528,0.06941009710045495,0.03636493231881087,0.014270597990844873,0.04006562382607907,0.06369546646690333,0.01859976552577785,0.04221825562773863,-0.008627526697010625,0.024449611262078976,0.017488602335125992,0.05287923612642365,-0.011897561396463453,0.005870561985508147,0.017113250632214555,-0.06201171904164284,0.023020412951645523,0.023194025421531872,-0.02917115727508098,-0.010632023552843518,-0.0026446645537421824,-0.052676911105859044,-0.10808345322373919,-0.007166126764089198,0.018018087682973447,0.03357707556206159,0.03315626952230261,-0.0034754838010672253,-0.02084456514742527,0.028771974347370083,-0.027392675659256023,0.0185464981319118,0.0074030895400549485,0.009973944175068635,0.013000683913647244,0.01183219965869391,0.0033327823242117107,0.011351603197246608,0.018441584398866083,0.013758054731680333,-0.012697696171615747,0.011397587416211729,-0.01934923701469766
last15_distance,-0.10369054938778484,-0.1578583714255676,0.010106455978568525,0.0018668859093982782,0.052661429553872985,1.0,0.42120563195324007,0.1315707770367402,0.5543829111495642,0.22676512237436783,0.34180825222227484,-0.08736858352016759,0.19914691937740964,-0.07352518080120593,0.09601154403342255,-0.16039830084639412,0.28092203159879675,0.30424773336036065,0.27387900868778997,0.2304726827306867,0.18444483397008132,0.07601160410039061,0.42845763227000866,0.30476764046594845,0.37093374001339585,0.2870067465810162,0.38830001705462985,0.2221357036370671,0.15348329928680313,0.29546911586475094,0.47213207458701895,0.6824946104165824,0.6383357057466459,0.45154074309403786,0.404810252487263,-0.06462997015054181,0.08751405843047078,0.4110310529235359,0.40996801172932246,0.5641440664704299,0.9414151406099458,0.4095497581004202,0.4443325924798342,0.4591692407476405,0.5127275292042426,0.13336058108819637,0.053855479128126306,0.027545131763155383,0.08587749877342142,0.11612929704224725,0.17889147369385341,0.0630492211882775,0.02399706693379266,0.11454064058668642,0.15749639785679082,0.11518352225469641,0.1569418902196719
last15_mean_max_speed,-0.00826919921446471,-0.008434422774607743,-0.13746241904621365,-0.02085449756243297,-0.02572413709493143,0.42120563195324007,1.0,0.08397285392412782,0.261376326519036,0.6547321837838183,0.5032030514233209,-0.03063525746906146,0.1187297671015585,-0.0162002094884077,0.09235320462732366,-0.04632189048204633,0.11880586108294305,0.17158449803141917,0.1733776213118656,0.1481305494125463,0.08252828648703278,0.05281628377738728,0.18755626916582374,0.15564894576419622,0.19343850737691357,0.18652723411481906,0.17387516294911742,0.14207802337934639,0.17046732639150824,0.40217815540451296,0.3876489631550159,0.3183281722606697,0.6509933746280246,0.31389739098916064,0.22135972301066292,0.06648432073364234,0.18026997379170737,0.2192579272072098,0.3293979112271151,0.4200617118880565,0.4252556883467465,0.2269998485810266,0.7971869468837384,0.379803802512971,0.23636434844424825,0.08476986822716344,0.03440518579437614,0.033002932781131915,0.07236341893570478,0.0695949871148621,0.12755190098682945,0.04577489029719858,0.025818943327006103,0.10622940585365155,0.10929961238534086,0.06898052976665435,0.10690646940769229
last15_shots,0.046078695258420316,0.005156215925331963,-0.0428440704181214,0.021897115195042147,0.021865606842421184,0.1315707770367402,0.08397285392412782,1.0,0.13045074690475303,0.056062713389113214,0.10029429603044512,0.02287097778416683,0.1495589781470162,-0.08388950225787085,0.1003486351378121,-0.08993745123088198,0.08115424172120844,0.1488395787311902,0.15514000534463337,0.1169800864925275,0.020690618788560038,-0.009018671631020736,0.10737613976220206,0.06503401917745867,0.1490375422809749,0.11083998197829895,0.153378738904836,0.04271695131207514,0.02186468659346529,-0.040287479176346265,0.15342145137986915,0.14840429419079926,0.130937118554641,0.1290336423047303,0.24198020368162448,-0.14362577585007233,-0.08264394772178135,0.21762272914791017,0.14805784818392903,0.07989206430003748,0.11025402365770093,0.21057001256766186,0.09447445398402356,0.14769201715209757,0.15580575326008517,0.9920130990013855,0.3565507990177088,0.4839150257329174,0.537012361059341,0.8687677384434488,0.6559563456579588,0.30278298114894836,0.3445228228683272,0.37840259563962636,0.5836715247311339,0.8671046704730593,0.5704872403131891
cumul_distance,0.45458603876873666,0.14978881936156926,0.009670428384061739,0.00043274352346974626,0.05452422650347096,0.5543829111495642,0.261376326519036,0.13045074690475303,1.0,0.2132216584413582,0.5345735114820365,0.6153658125690623,0.1585931542644371,-0.03959601766084992,0.5479936717421142,0.20205469246547966,0.13510176934836854,0.17407247427790737,0.7026202761890745,0.6280908449667637,0.11638449669711196,0.11085554745173022,0.26069266427754834,0.21502938618555684,0.7454167912162813,0.6958760925628517,0.6719103698116963,0.20599817581251256,0.2504141951831518,0.12258642878360926,0.2494824480272986,0.4156227977201055,0.34658528774397723,0.4904419437985615,0.3294496587360981,0.04166043588636718,0.22954946445055924,0.2827612416741368,0.22664966309151957,0.39625363861030716,0.5303370223362942,0.2871994925071029,0.2760988714611346,0.2451743930623708,0.3155200798099807,0.12720516528105813,0.02799332480843107,0.04842750451553263,0.06582852807700332,0.0999940205878933,0.3578268288109805,0.12299463450211506,0.14946740748827828,0.21441572920979413,0.3054877209013731,0.09908792162041213,0.2907755738431705
cumul_mean_max_speed,0.06754974608448698,0.024837430908180008,-0.16964436282033726,-0.02447280200929827,-0.030495121445693475,0.22676512237436783,0.6547321837838183,0.056062713389113214,0.2132216584413582,1.0,0.6288257359233969,0.07087087825562827,-0.012284636624299298,-0.019067194613912226,0.01240168759936871,0.0032175355733990918,0.0005524105162444998,0.07700060286910505,0.09004133263075563,0.05347620879305552,-0.01613171940414888,-0.02861713006259756,0.06376888387052937,0.05354658695574522,0.0947235027726657,0.09580173333570656,0.07971027694027152,0.03698313354640219,0.05236790381497556,0.2411643367280575,0.2869705563613499,0.12629001590104125,0.40671274973927923,0.19692515617426504,0.11598313107197063,0.09995174932567713,0.1661261246159443,0.10612848184149862,0.2347549452875159,0.22480528087063253,0.22495926083934614,0.11641814511198229,0.5208593278679556,0.27808412138409994,0.09529825029750852,0.05826183532143216,0.021863077537377363,0.018513965153222102,0.055802464922884994,0.028914862354333302,0.09251314000508826,0.04056886761412418,0.0036778689069522966,0.09938863123278269,0.0705769973177109,0.027627683985236264,0.06276320072377733
