,mean_abs_shap
cumul_received_unsucc,0.10939083499499444
cumul_pressured_success_rate,0.07525812174281563
formation,0.04440026181329976
cumul_top_run_share,0.04312818919186944
share_of_possessions_with_top_run,0.040030308738994436
cumul_pressured_succ,0.03894344382590011
cumul_unique_run_possessions,0.03418954155349528
last_15_received_unsucc,0.03398939607838073
last15_top_run_share,0.031203273277451437
last_15_pressures_won,0.024275872053343948
cumul_bottom_sprint_share,0.024201375754593482
top_distance_share,0.024126613539878734
last15_top_sprint_share,0.023552625946502998
cumul_shots_special,0.02319183716491227
last15_distance,0.022312307156798987
last_15_pressure_success_rate,0.02068068479907407
cumul_in_game_time,0.019312337968592285
position,0.01734252636611305
last_15_pressured_unsucc,0.016610947117473334
cumul_distance,0.016409541722947743
distance_per_possession,0.016196819748821693
last_15_received_succ,0.016125848168371523
distance_per_run,0.016053444920009815
cumul_pressure_success_rate,0.014835924351798074
cumul_mean_max_speed,0.01455764150939005
possessions_with_2plus_runs,0.012720554140748883
avg_top_sprint_distance,0.012038762127036898
is_home,0.011490480692755916
cumul_bottom_run_share,0.01033053703437808
cumul_times_pressured,0.009344278593104412
cumul_peak_speed,0.008360105272374355
last15_mean_max_speed,0.008031239326203206
possessions_with_sprint_and_hsr,0.007366796318668556
cumul_received_succ,0.007157001258042745
sprint_distance_share,0.007142564027744218
cumul_pressures_lost,0.006825453546205236
cumul_pressures_won,0.00652986147988829
last_15_pressures_applied,0.006484709828992538
top_sprint_distance,0.006461266939247468
last15_bottom_sprint_count,0.006285488344059703
last_15_pressured_succ,0.0060374023826693275
cumul_pressures_applied,0.005612452550764837
cumul_shots_under_pressure_rate,0.005462014613315374
last_15_shots_under_pressure_rate,0.005399210138015293
cumul_shots_blocked,0.005129497159238068
last_15_pressured_success_rate,0.004301243366960921
checkpoint_min,0.003993304804981978
cumul_shots_under_pressure,0.003224064287269677
last_15_shots_total,0.0030233611315422767
cumul_shots_set_play,0.0028923066146832486
last_15_shots_special,0.002871317438758357
last15_shots,0.0022253610344004074
cumul_shots_total,0.0019572879723900472
last_15_shots_under_pressure,0.0015123954279385285
last_15_shots_blocked,0.0013870223256640377
checkpoint,0.0012893376557768363
last_15_shots_set_play,0.0007958593100444416
