feature,vif
checkpoint,2.784746777985676
checkpoint_min,1.1156199306167403
position,1.1760882890054039
is_home,1.0328710392932827
formation,1.1366034524274429
last15_distance,10.082511021840883
last15_mean_max_speed,3.3231174434558435
last15_shots,58.62783823419729
cumul_distance,1.9428981875707618
cumul_mean_max_speed,8.553181365627204
cumul_peak_speed,9.198388257556829
cumul_in_game_time,5.26576667854234
last_15_received_succ,2.9422336427612237
last_15_received_unsucc,1.962618942147977
cumul_received_succ,4.785894388323422
cumul_received_unsucc,2.3283592628830125
last_15_pressured_succ,3.34972375281971
last_15_pressured_unsucc,2.475310932040258
cumul_times_pressured,16.861013382584442
cumul_pressured_succ,15.558224563564677
last_15_pressured_success_rate,2.827129068300937
cumul_pressured_success_rate,2.4705399424934944
last_15_pressures_applied,5.2219007835841715
last_15_pressures_won,5.931326920333913
cumul_pressures_applied,inf
cumul_pressures_won,inf
cumul_pressures_lost,inf
last_15_pressure_success_rate,2.8754963255560617
cumul_pressure_success_rate,3.00492476065524
last15_bottom_sprint_count,2.087115334965923
top_sprint_distance,4.742546557790476
possessions_with_2plus_runs,3.340872714428325
possessions_with_sprint_and_hsr,3.3446747907218333
cumul_unique_run_possessions,4.897334911939687
cumul_top_run_share,3.8932117211222517
cumul_bottom_run_share,2.3319806991181786
cumul_bottom_sprint_share,2.1587559509458947
last15_top_run_share,16.692508591026684
last15_top_sprint_share,3.3141285966571696
distance_per_run,4.0994558301459865
distance_per_possession,9.832071966094347
top_distance_share,12.8617503839198
sprint_distance_share,2.5164806290156814
avg_top_sprint_distance,4.904818658052046
share_of_possessions_with_top_run,3.523403554643176
last_15_shots_total,67.13324831587816
last_15_shots_special,1.9982711050062594
last_15_shots_set_play,2.5125946059203272
last_15_shots_blocked,2.4417983583929783
last_15_shots_under_pressure,19.231269744764525
cumul_shots_total,12.47759233965381
cumul_shots_special,2.1905882859335724
cumul_shots_set_play,2.7066571561266497
cumul_shots_blocked,2.91868642701259
cumul_shots_under_pressure,14.644417484009534
last_15_shots_under_pressure_rate,11.452784168910656
cumul_shots_under_pressure_rate,5.28261720758604
