block_name,block_reason,block_size,features,mean_weakness_score,mean_abs_shap_sum,perm_delta_prauc_sum,max_abs_corr_max,mean_vif
corr_cluster_1,high_correlation_cluster,2,"['checkpoint', 'checkpoint_period']",0.8861906694969888,0.01297889644553385,0.013678629221507865,0.8661394301027112,inf
pressure_applied_triplet_cumul,algebraic_total_equals_parts,3,"['cumul_pressures_applied', 'cumul_pressures_won', 'cumul_pressures_lost']",0.8808524699149892,0.025760096321415356,0.018352189825423103,0.9382343819968463,inf
corr_cluster_5,high_correlation_cluster,2,"['last_15_pressures_applied', 'last_15_pressures_lost']",0.8621756303467663,0.007251967285359084,0.0031726188756071444,0.8682880657662376,inf
checkpoint_block,checkpoint_encoding,3,"['checkpoint', 'checkpoint_period', 'checkpoint_min']",0.8489822596604921,0.014396492320875032,0.013599651912531742,0.8661394301027112,inf
pressured_count_triplet_cumul,algebraic_total_equals_parts,3,"['cumul_times_pressured', 'cumul_pressured_succ', 'cumul_pressured_unsucc']",0.8022265374383274,0.05403605455350879,0.021845602559739004,0.9229492350595426,inf
corr_cluster_3,high_correlation_cluster,4,"['last15_shots', 'last_15_shots_total', 'last_15_shots_under_pressure', 'last_15_shots_under_pressure_rate']",0.802064622989864,0.010521246726520612,0.006835763917127251,0.9991230278529646,39.111285115937655
shot_under_pressure_last15,count_rate_family,3,"['last_15_shots_total', 'last_15_shots_under_pressure', 'last_15_shots_under_pressure_rate']",0.7977430595703718,0.008005159106062814,0.007706584242791553,0.9991230278529646,32.60576740985112
pressure_applied_triplet_last15,algebraic_total_equals_parts,3,"['last_15_pressures_applied', 'last_15_pressures_won', 'last_15_pressures_lost']",0.7842084661293957,0.02722236147141785,0.021491667698649027,0.8682880657662376,inf
shot_under_pressure_cumul,count_rate_family,3,"['cumul_shots_total', 'cumul_shots_under_pressure', 'cumul_shots_under_pressure_rate']",0.7763460110513777,0.007632008590962081,0.011308399791631521,0.9888614851023763,10.801542343749796
pressured_count_triplet_last15,algebraic_total_equals_parts,3,"['last_15_times_pressured', 'last_15_pressured_succ', 'last_15_pressured_unsucc']",0.7658767667901372,0.020563698676611637,0.0034697577952886305,0.0,inf
corr_cluster_2,high_correlation_cluster,2,"['distance_per_possession', 'last15_distance']",0.7293187179197327,0.04098000458602445,0.012713424583249679,0.9414151406099458,9.957291493967615
distance_intensity_family,run_distance_family,3,"['last15_distance', 'distance_per_possession', 'distance_per_run']",0.6705592296428646,0.06169471939102665,0.028178429178978018,0.9414151406099458,8.004679606027073
top_sprint_distance_family,run_distance_family,3,"['top_sprint_distance', 'avg_top_sprint_distance', 'last15_top_sprint_share']",0.6580655957535471,0.03249430512043631,0.057471410408266595,0.9891145230479687,4.320497937499897
corr_cluster_8,high_correlation_cluster,2,"['last15_top_run_share', 'top_distance_share']",0.6427213173230437,0.046366531342330486,0.029638148920119088,0.9611527517567636,14.777129487473243
