feature,mean_abs_shap,shap_std,perm_delta_prauc,max_abs_corr,cluster_id,cluster_reason,cluster_size,duplicate_flag,vif,instability,weak_shap,weak_perm,weak_corr,weak_vif,weak_instability,weakness_score,stage
checkpoint,0.0013959148000236051,0.001825248098966954,0.004309606798106755,0.8661394301027112,corr_cluster_1,high_correlation,2,0,inf,1.3075641141823904,0.9894807940285679,0.8630906977261084,0.8668996769736912,1.0,0.7606282961995309,0.9050237635787151,A
cumul_pressures_lost,0.005330807353181971,0.006289401784728736,0.004685042564860575,0.9382343819968463,corr_cluster_6,high_correlation,3,0,inf,1.1798216232621082,0.9453733730651994,0.8572928486069544,0.9390579096280434,1.0,0.6533628411995318,0.8898594794961535,A
cumul_pressures_applied,0.008305916935659515,0.011011603246325,0.0052643780328774994,0.9382343819968463,corr_cluster_6,high_correlation,3,0,inf,1.3257540776803645,0.9120244546401816,0.848346179348511,0.9390579096280434,1.0,0.7759024207056922,0.888977427678809,A
checkpoint_period,0.011582981645510245,0.018447427355921607,0.00936902242340111,0.8661394301027112,corr_cluster_1,high_correlation,2,0,inf,1.5926320113847485,0.8752908283139513,0.7849582153572101,0.8668996769736912,1.0,1.0,0.8673575754152626,A
cumul_times_pressured,0.009681483449183697,0.0096119245951956,0.003151947838649652,0.9229492350595426,corr_cluster_4,high_correlation,3,0,inf,0.9928152690284296,0.8966053064790901,0.8809684083033487,0.923759346276791,1.0,0.49633348056741,0.8655177848481588,A
cumul_pressures_won,0.012123372032573868,0.018202560750291044,0.008402769227685028,0.8702331243533188,corr_cluster_6,high_correlation,3,0,inf,1.501443715608431,0.8692334262464816,0.7998800494917178,0.8709969644312774,1.0,0.9234291270926817,0.8637205025700054,A
last_15_pressures_lost,0.0021997210102472275,0.001374478536035029,0.0010569733547986931,0.8682880657662376,corr_cluster_5,high_correlation,2,0,inf,0.6248422093675192,0.9804706829751298,0.9133210689751536,0.8690501985847721,1.0,0.1873462564424229,0.8628957344658008,A
last_15_pressures_applied,0.005052246275111857,0.0039916416743287775,0.0021156455208084513,0.8682880657662376,corr_cluster_5,high_correlation,2,0,inf,0.7900726641122423,0.9484958498719895,0.8969720100182927,0.8690501985847721,1.0,0.32609037972016497,0.8614555262277316,A
cumul_pressured_unsucc,0.004573027796312294,0.003824707565144583,0.0039384009935731976,0.8603397915050839,corr_cluster_4,high_correlation,3,0,inf,0.836362194917958,0.9538675572038382,0.8688232235998379,0.8610949477902489,1.0,0.3649597296744425,0.8559086105570761,A
cumul_shots_under_pressure,0.0016027945856967984,0.001007615018331304,-0.004555861726267256,0.9888614851023763,corr_cluster_9,high_correlation,3,0,14.644417484009534,0.6286613564353001,0.9871618148767294,1.0,0.9897294502633579,0.10196281252783754,0.190553196787692,0.8238595629340754,A
last15_shots,0.0025160876204577995,0.0017915217289632224,-0.0008708203256643024,0.9920130990013855,corr_cluster_3,high_correlation,4,0,58.62783823419729,0.7120267650445563,0.9769244323299601,0.943091958916793,0.992883830465946,0.16881704747327753,0.26055518611255274,0.8150293132483405,A
last_15_shots_total,0.0020864218284165513,0.0015346427060701625,0.0007445336232788577,0.9920130990013855,corr_cluster_3,high_correlation,4,0,67.13324831587816,0.7355380801565182,0.9817406883540061,0.9181460712327804,0.992883830465946,0.17547958336544664,0.2802976531254026,0.8103836296566519,A
last_15_shots_under_pressure,0.00119727598268988,0.0010351373583078129,0.0037615539905691622,0.9991230278529646,corr_cluster_3,high_correlation,4,0,19.231269744764525,0.8645770676717363,0.991707397631447,0.8715542693109523,1.0,0.11480970100171706,0.3886517771826579,0.8029023613667049,A
cumul_shots_total,0.0013232039082645996,0.0010203640776482652,0.0018581883506980298,0.8887597695865174,corr_cluster_9,high_correlation,3,0,12.47759233965381,0.7711313965105249,0.990295832779464,0.9009479173748323,0.889539871277305,0.0945136754994748,0.31018538465597073,0.7863214076221707,A
last_15_shots_under_pressure_rate,0.004721461294956383,0.0034233088520788466,0.0032004966289435333,0.9991230278529646,corr_cluster_3,high_correlation,4,0,11.452784168910656,0.7250528254326125,0.9522037204608234,0.8802186700366001,1.0,0.09056219264089709,0.2714931777261206,0.7799431876877588,A
top_sprint_distance,0.006017141305285998,0.003713920234873276,0.0030565193488181278,0.9891145230479687,corr_cluster_7,high_correlation,3,0,4.742546557790476,0.6172233701094296,0.937680044686358,0.882442109092423,0.989982710310958,0.05188683786483659,0.1809487120255003,0.7619397131239327,A
last15_distance,0.025003115149373714,0.03500039802044032,0.006384414179748894,0.9414151406099458,corr_cluster_2,high_correlation,2,0,10.082511021840883,1.3998414922037032,0.724860423965452,0.8310494773222039,0.9422414601262585,0.08473741942089127,0.838113672195839,0.7419467724330189,A
cumul_shots_under_pressure_rate,0.004706010097000684,0.003536834495038613,0.014006073167200747,0.9888614851023763,corr_cluster_9,high_correlation,3,0,5.282617207586043,0.7515569287224373,0.9523769176913484,0.7133483077480615,0.9897294502633579,0.05637792941947805,0.29374869097209433,0.7188570625978868,A
distance_per_possession,0.015976889436650734,0.011749121214685233,0.006329010403500784,0.9414151406099458,corr_cluster_2,high_correlation,2,0,9.832071966094347,0.7353822695757619,0.826038164359379,0.8319050770379565,0.9422414601262585,0.08359536228748278,0.28016681887660855,0.7166906634064464,A
avg_top_sprint_distance,0.010148891768730215,0.006612228490015483,0.012380090621314878,0.9891145230479687,corr_cluster_7,high_correlation,3,0,4.904818658052046,0.6515222194396085,0.891365982855,0.7384583327010268,0.989982710310958,0.05327917479450435,0.20974947873102812,0.7006704832010563,A
cumul_pressured_succ,0.0397815433080128,0.03176022629995413,0.014755253727516154,0.9229492350595426,corr_cluster_4,high_correlation,3,0,inf,0.798365866654474,0.5592044770332312,0.7017787231843187,0.923759346276791,1.0,0.3330541874374794,0.6852532169097474,A
top_distance_share,0.02332778272413448,0.013578954141476095,0.01179000432327866,0.9611527517567636,corr_cluster_8,high_correlation,2,0,12.8617503839198,0.5820936478213837,0.7436397404360622,0.7475710268720579,0.9619963958014299,0.09591794519809595,0.15145026074195359,0.6537780615002583,A
last15_top_run_share,0.02303874861819601,0.015726345130123033,0.017848144596840428,0.9611527517567636,corr_cluster_8,high_correlation,2,0,16.692508591026684,0.682604137522572,0.7468796126336311,0.654015254196268,0.9619963958014299,0.10810992405001893,0.23584898611829497,0.631664573145829,A
last15_top_sprint_share,0.016328272046420095,0.010182597155094574,0.04203480043813359,0.9617555969256866,corr_cluster_7,high_correlation,3,0,3.3141285966571683,0.6236175589276188,0.8220994086045708,0.2805010776509278,0.9625997701128182,0.03759633994576937,0.18631791664956696,0.5115865909356523,A
last_15_times_pressured,0.004944707767157733,0.0070185561838338306,0.0007013823060386809,0.0,,,1,0,inf,1.41940768076334,0.9497012820854557,0.9188124564011795,0.0,1.0,0.854543413806052,0.7919490857466547,B
last_15_pressured_unsucc,0.01131909667737379,0.01591919320171963,-0.0005131807745099512,0.0,,,1,0,inf,1.4064013812640335,0.8782487960902652,0.9375689364979021,0.0,1.0,0.8436220154239742,0.7759859681437427,B
checkpoint_min,0.001417595875341183,0.0014472278059261547,-7.897730897612337e-05,0.0,,,1,0,inf,1.020902946390021,0.9892377641864434,0.93086353865596,0.0,1.0,0.5199187220197975,0.7745654399874988,B
last_15_pressured_succ,0.004299894232080114,0.003518541749298487,0.0032815562637599008,0.0,,,1,0,inf,0.8182856506208431,0.956929195338568,0.8789668672678267,0.0,1.0,0.34978084334704423,0.7296952464800142,B
cumul_shots_blocked,0.004305782963312657,0.005466052812117096,-0.0012880823610455505,0.0,,,1,0,2.91868642701259,1.2694677968421761,0.9568631867388655,0.9495357304977726,0.0,0.032792715758184786,0.7286387930680117,0.6955396125784997,B
last15_bottom_sprint_count,0.008814057713318951,0.013719151789492208,0.0008208944766913487,0.0,,,1,0,2.087115334965923,1.556508050629298,0.9063285483641923,0.9169668316773073,0.0,0.020874979162566025,0.9696666860108937,0.6918911221136612,B
last_15_received_succ,0.008201114580707363,0.0065645385158926515,-0.0022635711858344024,0.0,,,1,0,2.9422336427612237,0.8004446775241185,0.9131992164730343,0.9646001903185524,0.0,0.033092057690985985,0.33479976631405317,0.6483590139539074,B
position,0.013944576519663621,0.01833620016004797,0.0024052349743017565,0.0,,,1,0,1.1760882890054039,1.3149341705853599,0.848818984965749,0.892499884273935,0.0,0.0034016401825293246,0.76681693748674,0.6440425127525289,B
last_15_shots_blocked,0.00084899521693905,0.0005810564086828107,0.0013430881358716465,0.0,,,1,0,2.4417983583929783,0.6844048082835373,0.9956113838625541,0.908902602546758,0.0,0.026309075441049126,0.23736101055972128,0.6431663346502086,B
cumul_peak_speed,0.011271110094333976,0.013055517720325637,0.003409998933074032,0.0,,,1,0,9.198388257556829,1.1583169369349597,0.8787866924597688,0.8769833289822137,0.0,0.08058335978261011,0.6353053417183816,0.6421690430318046,B
last_15_shots_set_play,0.0004574798532942703,0.00028157312636271144,0.0008991516655466533,0.0,,,1,0,2.5125946059203272,0.6154874894164831,1.0,0.9157583070410019,0.0,0.027326415374042377,0.17949109184749062,0.6411971581865039,B
is_home,0.010095834946545555,0.012204861308943826,0.0042686015627968615,0.0,,,1,0,1.0328710392932827,1.2089006380913454,0.8919607130946349,0.8637239409822792,0.0,0.0,0.6777805093860428,0.6376696442107925,B
last_15_pressures_won,0.019970394186058765,0.02408368909209849,0.018319048823041882,0.0,,,1,0,inf,1.2059696402443172,0.7812737412597014,0.6467430870378358,0.0,1.0,0.6753193485350172,0.6282741376946547,B
