feature,mean_abs_shap
cumul_received_unsucc,0.43413927127184343
cumul_pressured_success_rate,0.27394564505283514
position,0.2061399055269447
formation,0.148576034838412
cumul_peak_speed,0.14115088225706032
cumul_top_hsr_share,0.1325772390085832
cumul_pressure_success_rate,0.10616780981735564
last15_mean_max_speed,0.09665302940496176
is_home,0.08993066317178298
last_15_pressured_success_rate,0.0878796192588839
cumul_bottom_sprint_share,0.08566086009981982
cumul_mean_max_speed,0.08160181068571914
distance_per_run,0.07920921327509284
cumul_pressured_succ,0.07753281074575333
last_15_received_unsucc,0.0752010344555149
cumul_pressures_lost,0.06980632667646465
cumul_top_sprint_share,0.06786269089484186
cumul_shots_blocked,0.06686043950931589
cumul_pressured_unsucc,0.06363370470578018
cumul_bottom_sprint_count,0.06352450217933325
cumul_unique_run_possessions,0.062409909081928686
cumul_bottom_run_share,0.059128065292017126
cumul_middle_run_share,0.05894114572007985
share_of_possessions_with_top_run,0.05490225752971119
last_15_pressures_applied,0.05423150782484098
cumul_middle_hsr_count,0.05349613881707338
cumul_sprints,0.051529141046360145
cumul_shots_under_pressure_rate,0.0480123437368852
top_sprint_distance,0.04741020683911065
top_distance_share,0.04352194610064128
cumul_top_run_share,0.042675799222095086
cumul_bottom_hsr_count,0.04265935367838044
distance_per_possession,0.04226503092765392
cumul_in_game_time,0.04222501016909753
last_15_pressures_won,0.041053353684408815
top_hsr_distance,0.04021462174805913
last_15_received_succ,0.03947634296844166
avg_top_sprint_distance,0.03866879075129238
last15_top_run_share,0.038054959167219314
last_15_pressure_success_rate,0.03642389833706732
formation_striker,0.03633126498653866
cumul_received_succ,0.030154019135471256
formation_attackers,0.028125664081790104
cumul_distance,0.026676340570869695
last_15_pressured_unsucc,0.02609005593371566
possessions_with_2plus_runs,0.0260097238214698
cumul_pressures_applied,0.025307420219065253
last15_distance,0.024574713565594937
cumul_top_hsr_count,0.02440163032966852
formation_defenders,0.023258780684491148
cumul_hsr,0.022083387426905143
subbed,0.020881294682859427
cumul_shots_special,0.02078024052977282
last_15_pressures_lost,0.02062568823043148
cumul_pressures_won,0.020085103403770253
top_runs_per_possession,0.0194361217593
last15_unique_run_possessions,0.019024764285467222
last15_middle_hsr_count,0.01853087332856868
last15_peak_speed,0.017947477255412087
last_15_times_pressured,0.01752439216604783
cumul_shots_under_press,0.01700185616039055
last15_bottom_hsr_count,0.016694273405632887
possessions_with_sprint_and_hsr,0.015936349332994367
cumul_middle_sprint_count,0.01577275667473189
cumul_times_pressured,0.015091912618058565
sprint_distance_share,0.013775762782171382
formation_midfielders,0.012254310966359431
last15_hsr,0.012128075163102232
runs_per_possession,0.011573867593081275
sprints_per_possession,0.010843656450863508
possessions_with_2plus_top_runs,0.009803046320987042
cumul_shots_top_third,0.009553228863824153
cumul_shots_on_target,0.009414247368689128
last15_shots,0.00906147731344993
cumul_shots_set_play,0.008740392458236124
last15_middle_sprint_count,0.008378674595783758
last_15_shots_under_pressure,0.008322593365510477
checkpoint,0.008065737467202674
top_run_repeat_possession_rate,0.007053973951481112
last15_sprints,0.00654901485371367
cumul_shots_under_pressure,0.005307243325588387
last15_top_sprint_share,0.005273530473153553
last_15_pressured_succ,0.00501467356719896
last15_bottom_sprint_count,0.0038745205792613513
last15_top_sprint_count,0.003840355292354015
last15_top_hsr_count,0.0035752209217364507
last15_shots_under_press,0.0034685725341667317
last_15_shots_under_pressure_rate,0.0034295676913856385
cumul_shots_total,0.0030006403662336564
last15_shots_on_target,0.0027258978117253845
share_of_possessions_with_sprint,0.00242193108613824
last15_shots_top_third,0.001981266817957687
cumul_top_sprint_count,0.0017445412827712553
cumul_shots,0.0016233968240433891
last_15_shots_special,0.0006720277270820048
last_15_shots_blocked,0.00024070832242608481
last_15_shots_total,0.00018862271541729677
last_15_shots_set_play,0.0
