feature,mean_abs_shap,association_method,target_association,abs_target_association
cumul_received_unsucc,0.43413927127184343,spearman,-0.14090778836436624,0.14090778836436624
cumul_pressured_success_rate,0.27394564505283514,spearman,-0.07950160481842046,0.07950160481842046
position,0.2061399055269447,cramers_v,0.1664200125681144,0.1664200125681144
formation,0.148576034838412,cramers_v,0.07817427971157288,0.07817427971157288
cumul_peak_speed,0.14115088225706032,spearman,0.025961762033409986,0.025961762033409986
cumul_top_hsr_share,0.1325772390085832,spearman,0.12912678799882377,0.12912678799882377
cumul_pressure_success_rate,0.10616780981735564,spearman,0.015219398657724962,0.015219398657724962
last15_mean_max_speed,0.09665302940496176,spearman,0.025812155030360495,0.025812155030360495
is_home,0.08993066317178298,spearman,-0.029950888866032185,0.029950888866032185
last_15_pressured_success_rate,0.0878796192588839,spearman,-0.007285129600167082,0.007285129600167082
cumul_bottom_sprint_share,0.08566086009981982,spearman,-0.024359952222694208,0.024359952222694208
cumul_mean_max_speed,0.08160181068571914,spearman,0.007733964686195017,0.007733964686195017
distance_per_run,0.07920921327509284,spearman,0.041007286695423334,0.041007286695423334
cumul_pressured_succ,0.07753281074575333,spearman,-0.047070621026941845,0.047070621026941845
last_15_received_unsucc,0.0752010344555149,spearman,-0.09525253201089691,0.09525253201089691
cumul_pressures_lost,0.06980632667646465,spearman,0.042821581868091596,0.042821581868091596
cumul_top_sprint_share,0.06786269089484186,spearman,0.0679305241716179,0.0679305241716179
cumul_shots_blocked,0.06686043950931589,spearman,-0.003895459153517706,0.003895459153517706
cumul_pressured_unsucc,0.06363370470578018,spearman,0.04316725005497849,0.04316725005497849
cumul_bottom_sprint_count,0.06352450217933325,spearman,-0.02762694397951831,0.02762694397951831
cumul_unique_run_possessions,0.062409909081928686,spearman,0.07672725793575004,0.07672725793575004
cumul_bottom_run_share,0.059128065292017126,spearman,-0.0721112381339868,0.0721112381339868
cumul_middle_run_share,0.05894114572007985,spearman,-0.012519635213293382,0.012519635213293382
share_of_possessions_with_top_run,0.05490225752971119,spearman,0.10151968905396308,0.10151968905396308
last_15_pressures_applied,0.05423150782484098,spearman,0.09024333258151773,0.09024333258151773
cumul_middle_hsr_count,0.05349613881707338,spearman,-0.018548719282961708,0.018548719282961708
cumul_sprints,0.051529141046360145,spearman,0.011344535233760415,0.011344535233760415
cumul_shots_under_pressure_rate,0.0480123437368852,spearman,0.06631390107538265,0.06631390107538265
top_sprint_distance,0.04741020683911065,spearman,0.07896782423357959,0.07896782423357959
top_distance_share,0.04352194610064128,spearman,0.12141474170046677,0.12141474170046677
cumul_top_run_share,0.042675799222095086,spearman,0.1277085283405066,0.1277085283405066
cumul_bottom_hsr_count,0.04265935367838044,spearman,-0.0634122901940473,0.0634122901940473
distance_per_possession,0.04226503092765392,spearman,0.05422811975693758,0.05422811975693758
cumul_in_game_time,0.04222501016909753,spearman,-0.09235043021087119,0.09235043021087119
last_15_pressures_won,0.041053353684408815,spearman,0.07376987790358126,0.07376987790358126
top_hsr_distance,0.04021462174805913,spearman,0.10066462163141411,0.10066462163141411
last_15_received_succ,0.03947634296844166,spearman,0.029771400726327113,0.029771400726327113
avg_top_sprint_distance,0.03866879075129238,spearman,0.08107328167756583,0.08107328167756583
last15_top_run_share,0.038054959167219314,spearman,0.11180342069587929,0.11180342069587929
last_15_pressure_success_rate,0.03642389833706732,spearman,0.0409316966052008,0.0409316966052008
formation_striker,0.03633126498653866,spearman,0.029037542247613086,0.029037542247613086
cumul_received_succ,0.030154019135471256,spearman,-0.033890431599447275,0.033890431599447275
formation_attackers,0.028125664081790104,spearman,-0.022850778164578384,0.022850778164578384
cumul_distance,0.026676340570869695,spearman,-0.009266195047814478,0.009266195047814478
last_15_pressured_unsucc,0.02609005593371566,spearman,0.0885405274888684,0.0885405274888684
possessions_with_2plus_runs,0.0260097238214698,spearman,0.0731832959009483,0.0731832959009483
cumul_pressures_applied,0.025307420219065253,spearman,0.03767208271503964,0.03767208271503964
last15_distance,0.024574713565594937,spearman,0.06267653589774427,0.06267653589774427
cumul_top_hsr_count,0.02440163032966852,spearman,0.059082070207070465,0.059082070207070465
formation_defenders,0.023258780684491148,spearman,0.03660220253618438,0.03660220253618438
cumul_hsr,0.022083387426905143,spearman,-0.011232263377622627,0.011232263377622627
subbed,0.020881294682859427,spearman,0.04612755731550348,0.04612755731550348
cumul_shots_special,0.02078024052977282,spearman,0.07199635395776285,0.07199635395776285
last_15_pressures_lost,0.02062568823043148,spearman,0.07585267035783509,0.07585267035783509
