feature,association_method,target_association,abs_target_association
position,cramers_v,0.1664200125681144,0.1664200125681144
cumul_received_unsucc,spearman,-0.14090778836436624,0.14090778836436624
cumul_top_hsr_share,spearman,0.12912678799882377,0.12912678799882377
cumul_top_run_share,spearman,0.1277085283405066,0.1277085283405066
top_distance_share,spearman,0.12141474170046677,0.12141474170046677
last15_top_run_share,spearman,0.11180342069587929,0.11180342069587929
share_of_possessions_with_top_run,spearman,0.10151968905396308,0.10151968905396308
top_runs_per_possession,spearman,0.10092342101591031,0.10092342101591031
top_hsr_distance,spearman,0.10066462163141411,0.10066462163141411
last15_top_hsr_count,spearman,0.0994215421948629,0.0994215421948629
last_15_received_unsucc,spearman,-0.09525253201089691,0.09525253201089691
cumul_in_game_time,spearman,-0.09235043021087119,0.09235043021087119
last_15_pressures_applied,spearman,0.09024333258151773,0.09024333258151773
last_15_pressured_unsucc,spearman,0.0885405274888684,0.0885405274888684
possessions_with_2plus_top_runs,spearman,0.08596673477151905,0.08596673477151905
last15_top_sprint_share,spearman,0.08224503847899614,0.08224503847899614
top_run_repeat_possession_rate,spearman,0.08153313508117875,0.08153313508117875
avg_top_sprint_distance,spearman,0.08107328167756583,0.08107328167756583
cumul_pressured_success_rate,spearman,-0.07950160481842046,0.07950160481842046
top_sprint_distance,spearman,0.07896782423357959,0.07896782423357959
formation,cramers_v,0.07817427971157288,0.07817427971157288
cumul_unique_run_possessions,spearman,0.07672725793575004,0.07672725793575004
last_15_pressures_lost,spearman,0.07585267035783509,0.07585267035783509
last15_top_sprint_count,spearman,0.07520850268940808,0.07520850268940808
last_15_pressures_won,spearman,0.07376987790358126,0.07376987790358126
possessions_with_2plus_runs,spearman,0.0731832959009483,0.0731832959009483
last15_unique_run_possessions,spearman,0.07293323502263671,0.07293323502263671
cumul_bottom_run_share,spearman,-0.0721112381339868,0.0721112381339868
cumul_shots_special,spearman,0.07199635395776285,0.07199635395776285
last_15_shots_total,spearman,0.06966631149948055,0.06966631149948055
last15_shots_top_third,spearman,0.06879685431016341,0.06879685431016341
last15_shots,spearman,0.06826211888106268,0.06826211888106268
cumul_top_sprint_share,spearman,0.0679305241716179,0.0679305241716179
cumul_shots_under_pressure,spearman,0.06757327787078647,0.06757327787078647
last_15_times_pressured,spearman,0.06755178222636898,0.06755178222636898
cumul_shots_top_third,spearman,0.0674260493592681,0.0674260493592681
cumul_shots_total,spearman,0.06708311335956843,0.06708311335956843
cumul_shots_under_press,spearman,0.06668482260681874,0.06668482260681874
cumul_shots_under_pressure_rate,spearman,0.06631390107538265,0.06631390107538265
cumul_shots,spearman,0.06597392431290118,0.06597392431290118
last_15_shots_under_pressure,spearman,0.06540932695888921,0.06540932695888921
last_15_shots_under_pressure_rate,spearman,0.06500637254728896,0.06500637254728896
checkpoint,cramers_v,0.06472824184208503,0.06472824184208503
last15_shots_under_press,spearman,0.06443646863667551,0.06443646863667551
cumul_bottom_hsr_count,spearman,-0.0634122901940473,0.0634122901940473
last15_hsr,spearman,0.06295068942276565,0.06295068942276565
last15_distance,spearman,0.06267653589774427,0.06267653589774427
cumul_top_hsr_count,spearman,0.059082070207070465,0.059082070207070465
possessions_with_sprint_and_hsr,spearman,0.05655650919569788,0.05655650919569788
cumul_shots_on_target,spearman,0.056256968436423894,0.056256968436423894
runs_per_possession,spearman,0.05619560286695141,0.05619560286695141
distance_per_possession,spearman,0.05422811975693758,0.05422811975693758
last15_peak_speed,spearman,0.05315565597190782,0.05315565597190782
cumul_shots_set_play,spearman,0.05229342107903771,0.05229342107903771
last15_shots_on_target,spearman,0.050933761636921114,0.050933761636921114
cumul_pressured_succ,spearman,-0.047070621026941845,0.047070621026941845
cumul_top_sprint_count,spearman,0.04684317890318511,0.04684317890318511
subbed,spearman,0.04612755731550348,0.04612755731550348
last15_sprints,spearman,0.04587973535352065,0.04587973535352065
last15_middle_hsr_count,spearman,0.04560903001146085,0.04560903001146085
cumul_pressured_unsucc,spearman,0.04316725005497849,0.04316725005497849
share_of_possessions_with_sprint,spearman,0.04285808429309431,0.04285808429309431
cumul_pressures_lost,spearman,0.042821581868091596,0.042821581868091596
last_15_shots_special,spearman,0.042103934104761084,0.042103934104761084
distance_per_run,spearman,0.041007286695423334,0.041007286695423334
last_15_pressure_success_rate,spearman,0.0409316966052008,0.0409316966052008
sprints_per_possession,spearman,0.03847111102166984,0.03847111102166984
cumul_pressures_applied,spearman,0.03767208271503964,0.03767208271503964
formation_defenders,spearman,0.03660220253618438,0.03660220253618438
sprint_distance_share,spearman,0.034098276836002694,0.034098276836002694
cumul_received_succ,spearman,-0.033890431599447275,0.033890431599447275
last_15_pressured_succ,spearman,0.03031224652285218,0.03031224652285218
is_home,spearman,-0.029950888866032185,0.029950888866032185
last_15_received_succ,spearman,0.029771400726327113,0.029771400726327113
formation_striker,spearman,0.029037542247613086,0.029037542247613086
cumul_bottom_sprint_count,spearman,-0.02762694397951831,0.02762694397951831
cumul_peak_speed,spearman,0.025961762033409986,0.025961762033409986
last15_mean_max_speed,spearman,0.025812155030360495,0.025812155030360495
cumul_bottom_sprint_share,spearman,-0.024359952222694208,0.024359952222694208
last_15_shots_set_play,spearman,0.0240556807003302,0.0240556807003302
formation_attackers,spearman,-0.022850778164578384,0.022850778164578384
cumul_pressures_won,spearman,0.020912977775769954,0.020912977775769954
cumul_middle_hsr_count,spearman,-0.018548719282961708,0.018548719282961708
last15_bottom_hsr_count,spearman,-0.017616535976006327,0.017616535976006327
cumul_pressure_success_rate,spearman,0.015219398657724962,0.015219398657724962
cumul_middle_sprint_count,spearman,-0.015148996760801794,0.015148996760801794
cumul_middle_run_share,spearman,-0.012519635213293382,0.012519635213293382
cumul_sprints,spearman,0.011344535233760415,0.011344535233760415
cumul_hsr,spearman,-0.011232263377622627,0.011232263377622627
last_15_shots_blocked,spearman,0.011148355908543194,0.011148355908543194
formation_midfielders,spearman,-0.01071478641747653,0.01071478641747653
cumul_distance,spearman,-0.009266195047814478,0.009266195047814478
cumul_mean_max_speed,spearman,0.007733964686195017,0.007733964686195017
last_15_pressured_success_rate,spearman,-0.007285129600167082,0.007285129600167082
cumul_times_pressured,spearman,-0.006815464854516773,0.006815464854516773
last15_bottom_sprint_count,spearman,0.006447931820926761,0.006447931820926761
cumul_shots_blocked,spearman,-0.003895459153517706,0.003895459153517706
last15_middle_sprint_count,spearman,0.002133675146913173,0.002133675146913173
