model_name,repeat,fold,seed,average_precision,balanced_accuracy,auroc,brier_score,selected_threshold,rows,fixtures,positives
decision_tree,1,1,7,0.10232706589745866,0.6409552845528456,0.6662686314363144,0.20488653764568635,0.5273760330578517,1044,10,60
decision_tree,1,2,7,0.09548464988424837,0.6153170847840967,0.6069175371246615,0.1998432358795432,0.5214297814670513,1043,10,69
decision_tree,1,3,7,0.0709487419508999,0.5645714083810331,0.6457582503003321,0.2514657886240299,0.5988683284905951,1121,11,53
decision_tree,2,1,8,0.11171976047908183,0.7199186991869919,0.7208163956639566,0.22027351464527858,0.6813558541973537,1044,10,60
decision_tree,2,2,8,0.0934263037835605,0.6271240663036038,0.6264991221021933,0.2159244669788404,0.5735849056603773,1043,10,69
decision_tree,2,3,8,0.07353264756995927,0.6278001554660448,0.675058299766801,0.21997270572366884,0.5798045602605865,1121,11,53
xgboost,1,1,7,0.18488847173522893,0.6933943089430894,0.7548611111111111,0.053659696131944656,0.05657403543591499,1044,10,60
xgboost,1,2,7,0.15130258179461303,0.6181590929381305,0.6916569949111686,0.06162416189908981,0.053049493581056595,1043,10,69
xgboost,1,3,7,0.09241119720771648,0.6265369938520245,0.6905342378630486,0.04485316947102547,0.06323263794183731,1121,11,53
xgboost,2,1,8,0.10205368419177305,0.5919715447154472,0.7152184959349593,0.05377419292926788,0.06062573939561844,1044,10,60
xgboost,2,2,8,0.1315560575092417,0.6243415766449425,0.6690250870457995,0.061533618718385696,0.051874835044145584,1043,10,69
xgboost,2,3,8,0.08222567361155667,0.5939951240195039,0.6541675499964668,0.04496193304657936,0.06405505537986755,1121,11,53
catboost,1,1,7,0.1785292897447668,0.6792682926829268,0.7220867208672087,0.0724372139262107,0.22141129253718797,1044,10,60
catboost,1,2,7,0.14273598260024462,0.6052658988780764,0.6909799720263072,0.07512957266702515,0.19349621044886822,1043,10,69
catboost,1,3,7,0.10911181028303164,0.5800208465832803,0.6184280262878948,0.24689270619509635,0.4971839353447691,1121,11,53
catboost,2,1,8,0.17134121670752572,0.7079268292682928,0.7742886178861788,0.14966999803639336,0.3693766628897026,1044,10,60
catboost,2,2,8,0.20333297282622412,0.6040606493467845,0.6739502425378686,0.23393906378294813,0.4856553988380551,1043,10,69
catboost,2,3,8,0.09385766092478913,0.5782895201752527,0.6287011518620592,0.21110261913019315,0.4568271576086178,1121,11,53
